Datum und Uhrzeit;Wochentag;#;ST;Heim;Mannschaft 1: Verein;Gast;Mannschaft 2: Verein;SR;Schiedsgericht: Verein;Gastgeber;Gastgeber: Verein;Austragungsort/Ergebnis;Ort;Ergebnis;Saison;Spielrunde;Geschlecht;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;Satzpunkte 2;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer;Datum;Uhrzeit;USC_Team;Gruppen-Ebene;Spielgruppe;Spielfeld;Feldrunde;Datum_DT;Tag
"""27.12.2025, 18:00:00""";"""Samstag""";"""2066""";"""Spieltag 16""";"""Schwarz-Weiß Erfurt""";"""SWE Volley-Team e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Schwarz-Weiß Erfurt""";"""SWE Volley-Team e.V.""";"""0:3 / 51:75""";"""Riethsporthalle (99089 Erfurt)""";"""0:3 / 51:75""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""51:75""";"""66""";"""904""";"""0""";"""3""";"""11""";"""25""";"""20""";"""18""";"""25""";"""21""";"""22""";"""25""";"""25""";;;;;;;;;USC1;;;;;;
"""18.01.2026, 16:00:00""";"""Sonntag""";"""2077""";"""Spieltag 17""";"""USC1""";"""USC Münster e.V.""";"""Binder Blaubären TSV Flacht""";"""TSV Flacht 1903 e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:1 / 97:83""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:1 / 97:83""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""97:83""";"""91""";"""2234""";"""3""";"""1""";"""21""";"""25""";"""23""";"""26""";"""24""";"""26""";"""25""";"""18""";"""22""";"""25""";"""16""";"""20""";;;;;;USC1;;;;;;
"""21.01.2026, 20:00:00""";"""Mittwoch""";"""2079""";"""Spieltag 4""";"""ETV Hamburger Volksbank Volleys""";"""Eimsbütteler TV""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""ETV Hamburger Volksbank Volleys""";"""Eimsbütteler TV""";"""0:3 / 51:75""";"""ETV Sporthalle Hoheluft (22529 Hamburg)""";"""0:3 / 51:75""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""51:75""";"""61""";"""555""";"""0""";"""3""";"""16""";"""25""";"""19""";"""19""";"""25""";"""21""";"""16""";"""25""";"""21""";;;;;;;;;USC1;;;;;;
"""31.01.2026, 18:30:00""";"""Samstag""";"""2091""";"""Spieltag 8""";"""Ladies in Black Aachen""";"""Post-Telekom-Sportverein Aachen e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Ladies in Black Aachen""";"""Post-Telekom-Sportverein Aachen e.V.""";"""0:3 / 62:75""";"""Neuköllner Straße (52068 Aachen)""";"""0:3 / 62:75""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""62:75""";"""69""";"""1223""";"""0""";"""3""";"""23""";"""25""";"""23""";"""18""";"""25""";"""21""";"""21""";"""25""";"""25""";;;;;;;;;USC1;;;;;;
"""07.02.2026, 19:30:00""";"""Samstag""";"""2099""";"""Spieltag 18""";"""USC1""";"""USC Münster e.V.""";"""VfB Suhl LOTTO Thüringen""";"""VfB 91 Suhl e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""1:3 / 86:91""";"""Sporthalle Berg Fidel (48153 Münster)""";"""1:3 / 86:91""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""86:91""";"""93""";"""2024""";"""1""";"""3""";"""25""";"""15""";"""20""";"""18""";"""25""";"""21""";"""19""";"""25""";"""24""";"""24""";"""26""";"""28""";;;;;;USC1;;;;;;
"""14.02.2026, 19:30:00""";"""Samstag""";"""2103""";"""Spieltag 19""";"""Skurios Volleys Borken""";"""RSV Borken 22 e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Skurios Volleys Borken""";"""RSV Borken 22 e.V.""";"""0:3 / 50:75""";"""Mergelsberg Sporthalle (46325 Borken)""";"""0:3 / 50:75""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""50:75""";"""59""";"""1042""";"""0""";"""3""";"""14""";"""25""";"""18""";"""22""";"""25""";"""22""";"""14""";"""25""";"""19""";;;;;;;;;USC1;;;;;;
"""21.02.2026, 19:30:00""";"""Samstag""";"""2110""";"""Spieltag 20""";"""USC1""";"""USC Münster e.V.""";"""VC Wiesbaden""";"""1. VC Wiesbaden e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""2:3 / 98:93""";"""Sporthalle Berg Fidel (48153 Münster)""";"""2:3 / 98:93""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""98:93""";"""99""";"""2112""";"""2""";"""3""";"""17""";"""25""";"""20""";"""25""";"""13""";"""20""";"""23""";"""25""";"""26""";"""25""";"""15""";"""20""";"""8""";"""15""";"""13""";;;USC1;;;;;;
"""04.03.2026, 19:00:00""";"""Mittwoch""";"""2115""";"""Spieltag 21""";"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Dresdner SC""";"""Dresdner SC 1898 e.V.""";"""3:0 / 75:57""";"""Margon Arena (01277 Dresden)""";"""3:0 / 75:57""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""75:57""";"""67""";"""2681""";"""3""";"""0""";"""25""";"""22""";"""24""";"""25""";"""19""";"""22""";"""25""";"""16""";"""21""";;;;;;;;;USC1;;;;;;
"""07.03.2026, 18:05:00""";"""Samstag""";"""2121""";"""Spieltag 15""";"""Allianz MTV Stuttgart""";"""MTV Stuttgart 1843 e.V.""";"""USC1""";"""USC Münster e.V.""";"""-""";"""""";"""Allianz MTV Stuttgart""";"""MTV Stuttgart 1843 e.V.""";"""3:1 / 98:83""";"""SCHARRena Stuttgart (70372 Stuttgart)""";"""3:1 / 98:83""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""98:83""";"""96""";"""2011""";"""3""";"""1""";"""23""";"""25""";"""26""";"""25""";"""18""";"""22""";"""25""";"""17""";"""22""";"""25""";"""23""";"""26""";;;;;;USC1;;;;;;
"""14.03.2026, 18:00:00""";"""Samstag""";"""2132""";"""Spieltag 22""";"""USC1""";"""USC Münster e.V.""";"""Schwarz-Weiß Erfurt""";"""SWE Volley-Team e.V.""";"""-""";"""""";"""USC1""";"""USC Münster e.V.""";"""3:0 / 75:52""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:52""";"""2025/26""";"""1. Bundesliga Frauen""";"""weiblich""";"""75:52""";"""63""";"""2214""";"""3""";"""0""";"""25""";"""20""";"""22""";"""25""";"""18""";"""20""";"""25""";"""14""";"""21""";;;;;;;;;USC1;;;;;;
