Datum und Uhrzeit;Wochentag;#;ST;Heim;Mannschaft 1: Verein;Gast;Mannschaft 2: Verein;SR;Schiedsgericht: Verein;Gastgeber;Gastgeber: Verein;Austragungsort/Ergebnis;Ort;Ergebnis;Saison;Spielrunde;Geschlecht;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;Satzpunkte 2;Satz 1 - Ballpunkte 1;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer;Datum;Uhrzeit;USC_Team;Gruppen-Ebene;Spielgruppe;Spielfeld;Feldrunde;Datum_DT;Tag
"""11.01.2026, 15:00:00""";"""Sonntag""";"""4066""";"""Spieltag 11""";"""Schweriner SC II""";"""Schweriner SC e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""Schweriner SC II""";"""Schweriner SC e.V.""";"""2:3 / 110:113""";"""Volleyballhalle Am Lambrechtsgrund (19059 Schwerin)""";"""2:3 / 110:113""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""110:113""";"""130""";"""109""";"""2""";"""3""";"""19""";"""25""";"""21""";"""25""";"""21""";"""26""";"""25""";"""21""";"""25""";"""22""";"""25""";"""35""";"""19""";"""21""";"""23""";;;USC2;;;;;;
"""18.01.2026, 16:00:00""";"""Sonntag""";"""4067""";"""Spieltag 12""";"""RC Sorpesee""";"""RC Sorpesee 1956 e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""RC Sorpesee""";"""RC Sorpesee 1956 e.V.""";"""1:3 / 77:97""";"""Schulzentrum Sundern (59846 Sundern)""";"""1:3 / 77:97""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""77:97""";"""88""";"""183""";"""1""";"""3""";"""22""";"""25""";"""25""";"""11""";"""25""";"""18""";"""25""";"""22""";"""23""";"""19""";"""25""";"""22""";;;;;;USC2;;;;;;
"""24.01.2026, 15:00:00""";"""Samstag""";"""4077""";"""Spieltag 13""";"""USC2""";"""USC Münster e.V.""";"""VC Osnabrück""";"""Volleyballclub Osnabrück e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:0 / 75:59""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:59""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:59""";"""62""";"""100""";"""3""";"""0""";"""25""";"""19""";"""20""";"""25""";"""22""";"""22""";"""25""";"""18""";"""20""";;;;;;;;;USC2;;;;;;
"""31.01.2026, 16:00:00""";"""Samstag""";"""4079""";"""Spieltag 14""";"""SSF Bonn""";"""Schwimm- und Sportfreunde Bonn 1905 e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""SSF Bonn""";"""Schwimm- und Sportfreunde Bonn 1905 e.V.""";"""2:3 / 97:110""";"""Hardtberghalle (53125 Bonn)""";"""2:3 / 97:110""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""97:110""";"""102""";"""78""";"""2""";"""3""";"""20""";"""25""";"""22""";"""25""";"""23""";"""24""";"""18""";"""25""";"""20""";"""25""";"""22""";"""23""";"""9""";"""15""";"""13""";;;USC2;;;;;;
"""07.02.2026, 15:00:00""";"""Samstag""";"""4088""";"""Spieltag 15""";"""USC2""";"""USC Münster e.V.""";"""SC Potsdam II""";"""SC Potsdam e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:0 / 75:54""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:0 / 75:54""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:54""";"""63""";"""60""";"""3""";"""0""";"""25""";"""16""";"""19""";"""25""";"""20""";"""23""";"""25""";"""18""";"""21""";;;;;;;;;USC2;;;;;;
"""15.02.2026, 16:00:00""";"""Sonntag""";"""4091""";"""Spieltag 16""";"""TV Cloppenburg""";"""Turnverein Cloppenburg von 1892 e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""TV Cloppenburg""";"""Turnverein Cloppenburg von 1892 e.V.""";"""0:3 / 41:75""";"""Sporthalle an der Leharstraße (49661 Cloppenburg)""";"""0:3 / 41:75""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""41:75""";"""58""";"""220""";"""0""";"""3""";"""13""";"""25""";"""18""";"""18""";"""25""";"""22""";"""10""";"""25""";"""18""";;;;;;;;;USC2;;;;;;
"""21.02.2026, 15:00:00""";"""Samstag""";"""4099""";"""Spieltag 17""";"""USC2""";"""USC Münster e.V.""";"""BSV Ostbevern""";"""BSV Ostbevern 1923 e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:1 / 92:78""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:1 / 92:78""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""92:78""";"""88""";"""80""";"""3""";"""1""";"""25""";"""22""";"""25""";"""25""";"""15""";"""19""";"""17""";"""25""";"""21""";"""25""";"""16""";"""23""";;;;;;USC2;;;;;;
"""01.03.2026, 13:00:00""";"""Sonntag""";"""4133""";"""Spieltag 23""";"""VCO Münster""";"""VCO Münster e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""VCO Münster""";"""VCO Münster e.V.""";"""0:3 / 46:75""";"""Sporthalle Berg Fidel (48153 Münster)""";"""0:3 / 46:75""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""46:75""";"""64""";"""120""";"""0""";"""3""";"""17""";"""25""";"""21""";"""11""";"""25""";"""19""";"""18""";"""25""";"""24""";;;;;;;;;USC2;;;;;;
"""07.03.2026, 16:00:00""";"""Samstag""";"""4103""";"""Spieltag 18""";"""SCU Emlichheim""";"""SC Union Emlichheim e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""SCU Emlichheim""";"""SC Union Emlichheim e.V.""";"""3:0 / 75:64""";"""Vechtetalhalle (49824 Emlichheim)""";"""3:0 / 75:64""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""75:64""";"""77""";"""380""";"""3""";"""0""";"""25""";"""23""";"""25""";"""25""";"""23""";"""26""";"""25""";"""18""";"""26""";;;;;;;;;USC2;;;;;;
"""21.03.2026, 15:00:00""";"""Samstag""";"""4110""";"""Spieltag 19""";"""USC2""";"""USC Münster e.V.""";"""SV Energie Cottbus""";"""SV Energie Cottbus""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""3:1 / 96:72""";"""Sporthalle Berg Fidel (48153 Münster)""";"""3:1 / 96:72""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""96:72""";"""82""";"""40""";"""3""";"""1""";"""25""";"""16""";"""20""";"""21""";"""25""";"""22""";"""25""";"""14""";"""19""";"""25""";"""17""";"""21""";;;;;;USC2;;;;;;
"""28.03.2026, 18:00:00""";"""Samstag""";"""4115""";"""Spieltag 20""";"""TUSA City Girls Düsseldorf""";"""DJK TUSA 06 Düsseldorf e.V.""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""TUSA City Girls Düsseldorf""";"""DJK TUSA 06 Düsseldorf e.V.""";"""0:3 / 59:76""";"""DH Brinckmannstraße, Hulda Pankok (40225 Düsseldorf)""";"""0:3 / 59:76""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";"""59:76""";"""72""";"""92""";"""0""";"""3""";"""18""";"""25""";"""24""";"""17""";"""25""";"""21""";"""24""";"""26""";"""27""";;;;;;;;;USC2;;;;;;
"""11.04.2026, 20:00:00""";"""Samstag""";"""4121""";"""Spieltag 21""";"""Team 48 Hildesheim""";"""MTV 1848 Hildesheim""";"""USC2""";"""USC Münster e.V.""";"""-""";"""""";"""Team 48 Hildesheim""";"""MTV 1848 Hildesheim""";"""Sporthalle Marienburger Höhe (31141 Hildesheim)""";"""Sporthalle Marienburger Höhe (31141 Hildesheim)""";"""-""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";;;;;;;;;;;;;;;;;;;;;;;USC2;;;;;;
"""25.04.2026, 19:00:00""";"""Samstag""";"""4132""";"""Spieltag 22""";"""USC2""";"""USC Münster e.V.""";"""Schweriner SC II""";"""Schweriner SC e.V.""";"""-""";"""""";"""USC2""";"""USC Münster e.V.""";"""Sporthalle Berg Fidel (48153 Münster)""";"""Sporthalle Berg Fidel (48153 Münster)""";"""-""";"""2025/26""";"""2. Bundesliga Frauen Nord""";"""weiblich""";;;;;;;;;;;;;;;;;;;;;;;USC2;;;;;;
"""20.09.2025, 20:00:00""";"""Samstag""";"""3""";"""Spieltag 1""";"""SC Hennen""";"""SC 1912 Hennen e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SC Hennen""";"""SC 1912 Hennen e.V.""";"""3:1 / 101:91""";"""Sportpark Hennen (58640 Iserlohn)""";"""3:1 / 101:91""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""101:91""";"""107""";;"""3""";"""1""";"""24""";"""26""";"""26""";"""27""";"""25""";"""30""";"""25""";"""17""";"""24""";"""25""";"""23""";"""27""";;;;;;USC3;;;;;;
"""04.10.2025, 15:00:00""";"""Samstag""";"""7""";"""Spieltag 2""";"""USC3""";"""USC Münster e.V.""";"""SG Sendenhorst""";"""SG Sendenhorst 1910 e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:1 / 97:83""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 97:83""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""97:83""";"""103""";;"""3""";"""1""";"""25""";"""17""";"""24""";"""25""";"""18""";"""25""";"""22""";"""25""";"""26""";"""25""";"""23""";"""28""";;;;;;USC3;;;;;;
"""11.10.2025, 19:00:00""";"""Samstag""";"""15""";"""Spieltag 3""";"""SSV Meschede""";"""SSV Meschede e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SSV Meschede""";"""SSV Meschede e.V.""";"""0:3 / 63:75""";"""Schule unter dem Regenbogen (59872 Meschede)""";"""0:3 / 63:75""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""63:75""";"""75""";;"""0""";"""3""";"""20""";"""25""";"""26""";"""22""";"""25""";"""26""";"""21""";"""25""";"""23""";;;;;;;;;USC3;;;;;;
"""18.10.2025, 15:00:00""";"""Samstag""";"""17""";"""Spieltag 4""";"""USC3""";"""USC Münster e.V.""";"""SC Halle""";"""SC Halle 1919 e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:0 / 77:50""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:0 / 77:50""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""77:50""";"""73""";;"""3""";"""0""";"""25""";"""19""";"""24""";"""27""";"""25""";"""31""";"""25""";"""6""";"""18""";;;;;;;;;USC3;;;;;;
"""26.10.2025, 17:00:00""";"""Sonntag""";"""23""";"""Spieltag 5""";"""TB Höntrop""";"""Turnbund Höntrop 1887 e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""TB Höntrop""";"""Turnbund Höntrop 1887 e.V.""";"""2:3 / 94:108""";"""Sportzentrum Westenfeld (44867 Bochum)""";"""2:3 / 94:108""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""94:108""";"""131""";;"""2""";"""3""";"""25""";"""22""";"""33""";"""25""";"""21""";"""28""";"""16""";"""25""";"""27""";"""18""";"""25""";"""26""";"""10""";"""15""";"""17""";;;USC3;;;;;;
"""02.11.2025, 16:00:00""";"""Sonntag""";"""27""";"""Spieltag 6""";"""USC3""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee II""";"""SV Blau-Weiß Aasee e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:1 / 92:80""";"""Halle Berg Fidel (48151 Münster)""";"""3:1 / 92:80""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""92:80""";"""100""";;"""3""";"""1""";"""25""";"""21""";"""30""";"""25""";"""18""";"""25""";"""17""";"""25""";"""24""";"""25""";"""16""";"""21""";;;;;;USC3;;;;;;
"""15.11.2025, 15:00:00""";"""Samstag""";"""32""";"""Spieltag 7""";"""USC3""";"""USC Münster e.V.""";"""RC Sorpesee II""";"""Ruderclub Sorpesee 1956 e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:0 / 75:46""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:0 / 75:46""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""75:46""";"""67""";;"""3""";"""0""";"""25""";"""13""";"""23""";"""25""";"""16""";"""20""";"""25""";"""17""";"""24""";;;;;;;;;USC3;;;;;;
"""22.11.2025, 18:00:00""";"""Samstag""";"""40""";"""Spieltag 8""";"""DJK Sportfreunde Datteln""";"""DJK Sportfreunde Datteln 2018 e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""DJK Sportfreunde Datteln""";"""DJK Sportfreunde Datteln 2018 e.V.""";"""0:3 / 66:76""";"""Comenius Gymnasium (45711 Datteln)""";"""0:3 / 66:76""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""66:76""";"""74""";;"""0""";"""3""";"""22""";"""25""";"""24""";"""24""";"""26""";"""27""";"""20""";"""25""";"""23""";;;;;;;;;USC3;;;;;;
"""06.12.2025, 15:00:00""";"""Samstag""";"""42""";"""Spieltag 9""";"""USC3""";"""USC Münster e.V.""";"""SV Blau-Weiß Sande""";"""SV Blau-Weiß Sande e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""0:3 / 70:80""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""0:3 / 70:80""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""70:80""";"""84""";;"""0""";"""3""";"""21""";"""25""";"""25""";"""21""";"""25""";"""28""";"""28""";"""30""";"""31""";;;;;;;;;USC3;;;;;;
"""20.12.2025, 15:00:00""";"""Samstag""";"""48""";"""Spieltag 10""";"""USC3""";"""USC Münster e.V.""";"""SC Hennen""";"""SC 1912 Hennen e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:0 / 75:42""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:0 / 75:42""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""75:42""";"""61""";;"""3""";"""0""";"""25""";"""15""";"""21""";"""25""";"""14""";"""21""";"""25""";"""13""";"""19""";;;;;;;;;USC3;;;;;;
"""10.01.2026, 16:00:00""";"""Samstag""";"""52""";"""Spieltag 11""";"""SG Sendenhorst""";"""SG Sendenhorst 1910 e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SG Sendenhorst""";"""SG Sendenhorst 1910 e.V.""";"""0:3 / 54:75""";"""Westtorhalle (48324 Sendenhorst)""";"""0:3 / 54:75""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""54:75""";"""66""";;"""0""";"""3""";"""17""";"""25""";"""20""";"""21""";"""25""";"""24""";"""16""";"""25""";"""22""";;;;;;;;;USC3;;;;;;
"""17.01.2026, 15:00:00""";"""Samstag""";"""60""";"""Spieltag 12""";"""USC3""";"""USC Münster e.V.""";"""SSV Meschede""";"""SSV Meschede e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:0 / 75:41""";"""Halle Berg Fidel (48151 Münster)""";"""3:0 / 75:41""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""75:41""";"""60""";;"""3""";"""0""";"""25""";"""14""";"""21""";"""25""";"""12""";"""18""";"""25""";"""15""";"""21""";;;;;;;;;USC3;;;;;;
"""24.01.2026, 18:00:00""";"""Samstag""";"""62""";"""Spieltag 13""";"""SC Halle""";"""SC Halle 1919 e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SC Halle""";"""SC Halle 1919 e.V.""";"""0:3 / 67:75""";"""Sporthalle Masch 2 (33790 Halle)""";"""0:3 / 67:75""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""67:75""";"""98""";;"""0""";"""3""";"""22""";"""25""";"""43""";"""23""";"""25""";"""27""";"""22""";"""25""";"""28""";;;;;;;;;USC3;;;;;;
"""31.01.2026, 15:00:00""";"""Samstag""";"""68""";"""Spieltag 14""";"""USC3""";"""USC Münster e.V.""";"""TB Höntrop""";"""Turnbund Höntrop 1887 e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:1 / 101:87""";"""Halle Berg Fidel (48151 Münster)""";"""3:1 / 101:87""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""101:87""";"""111""";;"""3""";"""1""";"""23""";"""25""";"""31""";"""25""";"""22""";"""26""";"""28""";"""26""";"""32""";"""25""";"""14""";"""22""";;;;;;USC3;;;;;;
"""14.02.2026, 15:00:00""";"""Samstag""";"""72""";"""Spieltag 15""";"""SV Blau-Weiß Aasee II""";"""SV Blau-Weiß Aasee e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SV Blau-Weiß Aasee II""";"""SV Blau-Weiß Aasee e.V.""";"""1:3 / 68:87""";"""Erich-Klausener-Schule (48151 Münster)""";"""1:3 / 68:87""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""68:87""";"""92""";;"""1""";"""3""";"""25""";"""12""";"""24""";"""23""";"""25""";"""28""";"""13""";"""25""";"""21""";"""7""";"""25""";"""19""";;;;;;USC3;;;;;;
"""21.02.2026, 15:00:00""";"""Samstag""";"""77""";"""Spieltag 16""";"""RC Sorpesee II""";"""Ruderclub Sorpesee 1956 e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""RC Sorpesee II""";"""Ruderclub Sorpesee 1956 e.V.""";"""0:3 / 55:75""";"""Freie Schule am See (59846 Sundern)""";"""0:3 / 55:75""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""55:75""";"""64""";;"""0""";"""3""";"""16""";"""25""";"""19""";"""21""";"""25""";"""24""";"""18""";"""25""";"""21""";;;;;;;;;USC3;;;;;;
"""07.03.2026, 15:00:00""";"""Samstag""";"""85""";"""Spieltag 17""";"""USC3""";"""USC Münster e.V.""";"""DJK Sportfreunde Datteln""";"""DJK Sportfreunde Datteln 2018 e.V.""";"""-""";"""""";"""USC3""";"""USC Münster e.V.""";"""3:0 / 75:43""";"""Halle Berg Fidel (48151 Münster)""";"""3:0 / 75:43""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""75:43""";"""66""";;"""3""";"""0""";"""25""";"""19""";"""25""";"""25""";"""12""";"""20""";"""25""";"""12""";"""21""";;;;;;;;;USC3;;;;;;
"""22.03.2026, 17:00:00""";"""Sonntag""";"""87""";"""Spieltag 18""";"""SV Blau-Weiß Sande""";"""SV Blau-Weiß Sande e.V.""";"""USC3""";"""USC Münster e.V.""";"""-""";"""""";"""SV Blau-Weiß Sande""";"""SV Blau-Weiß Sande e.V.""";"""1:3 / 88:103""";"""Sporthalle Sande (33106 Paderborn)""";"""1:3 / 88:103""";"""2025/26""";"""Oberliga 2 Frauen""";"""weiblich""";"""88:103""";"""104""";;"""1""";"""3""";"""18""";"""25""";"""21""";"""17""";"""25""";"""22""";"""26""";"""24""";"""28""";"""27""";"""29""";"""33""";;;;;;USC3;;;;;;
"""20.09.2025, 15:00:00""";"""Samstag""";"""3""";"""Spieltag 1""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""SG Sendenhorst II""";"""SG Sendenhorst 1910 e.V.""";"""USC4""";"""USC Münster e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""3:2 / 100:95""";"""Beverhalle (48346 Ostbevern)""";"""3:2 / 100:95""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""100:95""";"""113""";;"""3""";"""2""";"""15""";"""25""";"""19""";"""20""";"""25""";"""28""";"""25""";"""15""";"""21""";"""25""";"""18""";"""26""";"""15""";"""12""";"""19""";;;USC4;;;;;;
"""20.09.2025, 16:30:00""";"""Samstag""";"""4""";"""Spieltag 1""";"""USC4""";"""USC Münster e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""1:3 / 94:97""";"""Beverhalle (48346 Ostbevern)""";"""1:3 / 94:97""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""94:97""";"""96""";;"""1""";"""3""";"""25""";"""22""";"""19""";"""23""";"""25""";"""26""";"""23""";"""25""";"""25""";"""23""";"""25""";"""26""";;;;;;USC4;;;;;;
"""04.10.2025, 17:00:00""";"""Samstag""";"""7""";"""Spieltag 2""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""USC4""";"""USC Münster e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""3:1 / 97:87""";"""Sporthalle der Bonhoeffer Schule (48151 Münster)""";"""3:1 / 97:87""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""97:87""";"""103""";;"""3""";"""1""";"""25""";"""15""";"""23""";"""21""";"""25""";"""25""";"""26""";"""24""";"""28""";"""25""";"""23""";"""27""";;;;;;USC4;;;;;;
"""12.10.2025, 11:00:00""";"""Sonntag""";"""11""";"""Spieltag 3""";"""USC4""";"""USC Münster e.V.""";"""SC DJK Everswinkel""";"""SC DJK Everswinkel 1959 e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""USC4""";"""USC Münster e.V.""";"""1:3 / 85:88""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""1:3 / 85:88""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""85:88""";"""86""";;"""1""";"""3""";"""23""";"""25""";"""21""";"""25""";"""13""";"""19""";"""21""";"""25""";"""25""";"""16""";"""25""";"""21""";;;;;;USC4;;;;;;
"""12.10.2025, 12:30:00""";"""Sonntag""";"""12""";"""Spieltag 3""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""USC4""";"""USC Münster e.V.""";"""USC4""";"""USC Münster e.V.""";"""3:1 / 96:76""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 96:76""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""96:76""";"""152""";;"""3""";"""1""";"""25""";"""18""";"""81""";"""21""";"""25""";"""25""";"""25""";"""21""";"""26""";"""25""";"""12""";"""20""";;;;;;USC4;;;;;;
"""26.10.2025, 12:30:00""";"""Sonntag""";"""18""";"""Spieltag 5""";"""SG Sendenhorst II""";"""SG Sendenhorst 1910 e.V.""";"""USC4""";"""USC Münster e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""SV Blau-Weiß Aasee IV""";"""SV Blau-Weiß Aasee e.V.""";"""0:3 / 40:75""";"""Sporthalle der Bonhoeffer Schule (48151 Münster)""";"""0:3 / 40:75""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""40:75""";"""138""";;"""0""";"""3""";"""11""";"""25""";"""94""";"""20""";"""25""";"""25""";"""9""";"""25""";"""19""";;;;;;;;;USC4;;;;;;
"""02.11.2025, 11:00:00""";"""Sonntag""";"""21""";"""Spieltag 6""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""USC4""";"""USC Münster e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""3:1 / 97:81""";"""Anne-Frank-Schule (49477 Ibbenbüren)""";"""3:1 / 97:81""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""97:81""";"""101""";;"""3""";"""1""";"""25""";"""17""";"""22""";"""22""";"""25""";"""28""";"""25""";"""19""";"""26""";"""25""";"""20""";"""25""";;;;;;USC4;;;;;;
"""16.11.2025, 13:00:00""";"""Sonntag""";"""27""";"""Spieltag 7""";"""USC4""";"""USC Münster e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""TSC Gievenbeck III""";"""TSC Münster-Gievenbeck e.V.""";"""USC4""";"""USC Münster e.V.""";"""3:1 / 95:81""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""3:1 / 95:81""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""95:81""";"""104""";;"""3""";"""1""";"""20""";"""25""";"""23""";"""25""";"""22""";"""29""";"""25""";"""13""";"""21""";"""25""";"""21""";"""31""";;;;;;USC4;;;;;;
"""16.11.2025, 14:30:00""";"""Sonntag""";"""28""";"""Spieltag 7""";"""TSC Gievenbeck III""";"""TSC Münster-Gievenbeck e.V.""";"""SV Greven""";"""Sportverein Greven 2021 e.V.""";"""USC4""";"""USC Münster e.V.""";"""USC4""";"""USC Münster e.V.""";"""0:3 / 69:76""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""0:3 / 69:76""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""69:76""";"""77""";;"""0""";"""3""";"""23""";"""25""";"""24""";"""22""";"""25""";"""26""";"""24""";"""26""";"""27""";;;;;;;;;USC4;;;;;;
"""20.11.2025, 19:00:00""";"""Donnerstag""";"""32""";"""Spieltag 8""";"""USC4""";"""USC Münster e.V.""";"""TSC Gievenbeck III""";"""TSC Münster-Gievenbeck e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""TuS Saxonia Münster III""";"""TuS Saxonia Münster 1883 e.V.""";"""1:3 / 90:105""";"""Kardinal-von-Galen-Gymnasium (48165 Münster)""";"""1:3 / 90:105""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""90:105""";"""113""";;"""1""";"""3""";"""28""";"""26""";"""29""";"""21""";"""25""";"""26""";"""14""";"""25""";"""23""";"""27""";"""29""";"""35""";;;;;;USC4;;;;;;
"""07.12.2025, 12:30:00""";"""Sonntag""";"""36""";"""Spieltag 9""";"""BSV Ostbevern II""";"""BSV Ostbevern 1923 e.V.""";"""USC4""";"""USC Münster e.V.""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""VSG Ibbenbüren""";"""DJK Arminia Ibbenbüren e.V.""";"""0:3 / 57:75""";"""Anne-Frank-Schule (49477 Ibbenbüren)""";"""0:3 / 57:75""";"""2025/26""";"""Bezirksliga 14 Frauen""";"""weiblich""";"""57:75""";"""119""";;"""0""";"""3""";"""19""";"""25""";"""66""";"""23""";"""25""";"""30""";"""15""";"""25""";"""23""";;;;;;;;;USC4;;;;;;
